x1,y1,x2,y2,pred_x2,pred_y2,error_px
1664.33,1288.53,51.53,1243.94,40.21,1247.48,11.86
1965.33,1418.60,423.14,1396.30,442.55,1392.33,19.82
2589.64,1541.23,1166.36,1500.35,1167.34,1503.80,3.58
1831.55,1990.88,248.48,2061.49,245.23,2054.35,7.84
2377.82,1860.82,932.25,1845.95,930.66,1847.35,2.11
2597.07,1805.07,1184.95,1771.63,1172.11,1770.84,12.86
3711.91,1652.71,2177.15,1567.24,2178.26,1565.21,2.31
2355.53,2202.70,891.37,2210.13,898.83,2215.55,9.22
