iter,train_psnr,loss,val_psnr
100,12.287321090698242,0.05905653163790703,14.297715187072754
200,13.790338516235352,0.041779786348342896,16.569873809814453
300,15.139223098754883,0.0306251123547554,16.79153060913086
400,16.75321388244629,0.02111925557255745,17.72275161743164
500,20.68166732788086,0.008547386154532433,17.7578125
600,19.81248664855957,0.010441224090754986,18.612489700317383
700,21.18778419494629,0.007607140578329563,18.83795166015625
800,20.687124252319336,0.008536651730537415,19.232864379882812
900,20.578107833862305,0.008753649890422821,19.69409942626953
1000,21.666440963745117,0.0068132770247757435,19.959218978881836
1100,20.07598114013672,0.009826567955315113,20.32427215576172
1200,21.321521759033203,0.007376459892839193,20.412952423095703
1300,21.457395553588867,0.0071492502465844154,20.597557067871094
1400,19.877784729003906,0.010285413824021816,21.154766082763672
1500,23.67967987060547,0.0042858002707362175,21.344398498535156
1600,21.282140731811523,0.007443651556968689,21.45638656616211
1700,20.53318977355957,0.00884465966373682,21.631572723388672
1800,22.391990661621094,0.005765022709965706,22.012176513671875
1900,21.75798225402832,0.006671167444437742,22.39590072631836
2000,22.706321716308594,0.005362506955862045,22.611282348632812
