x1,y1,x2,y2,pred_x2,pred_y2,error_px
1961.62,359.50,434.29,103.09,432.84,104.68,2.15
1720.07,686.52,88.69,422.67,81.55,418.68,8.18
1898.44,1191.91,267.06,1039.55,279.05,1046.48,13.85
2942.67,1466.91,1430.21,1444.61,1433.42,1448.22,4.83
2221.75,1522.65,657.25,1459.47,656.48,1453.50,6.02
2519.04,1756.76,980.56,1719.60,976.66,1719.72,3.90
2890.65,2072.64,1337.31,2050.34,1337.04,2043.78,6.56
2779.16,2626.34,1184.95,2596.61,1183.25,2600.91,4.62
