iter,train_psnr,loss,val_psnr
100,11.098724365234375,0.07764750719070435,12.229757308959961
200,10.841383934020996,0.08238755911588669,13.160161972045898
300,11.620962142944336,0.06884997338056564,13.358553886413574
400,12.638494491577148,0.054469138383865356,13.449124336242676
500,12.364964485168457,0.05801009759306908,13.46112060546875
600,10.997766494750977,0.07947368174791336,13.409667015075684
700,11.053299903869629,0.07846394181251526,13.133687973022461
800,14.254129409790039,0.03754803165793419,13.557012557983398
900,11.558152198791504,0.06985295563936234,13.834985733032227
1000,11.634349822998047,0.06863805651664734,13.84345817565918
1100,14.24974250793457,0.03758597373962402,13.95551586151123
1200,15.104143142700195,0.030873483046889305,14.010719299316406
1300,14.884763717651367,0.032473091036081314,14.14090633392334
1400,15.068521499633789,0.03112775646150112,14.279478073120117
1500,14.738396644592285,0.033586155623197556,14.15312671661377
1600,15.092638969421387,0.03095538541674614,14.431462287902832
1700,15.605995178222656,0.027504293248057365,14.188987731933594
1800,16.241912841796875,0.0237579345703125,14.327807426452637
1900,12.565449714660645,0.05539301782846451,14.347707748413086
2000,16.701492309570312,0.021372277289628983,14.110054016113281
2100,16.831314086914062,0.020742863416671753,14.453664779663086
2200,16.584747314453125,0.021954592317342758,14.249433517456055
2300,12.804197311401367,0.052430056035518646,14.557794570922852
2400,15.583141326904297,0.0276494137942791,14.057952880859375
2500,15.535087585449219,0.027957044541835785,13.89889144897461
2600,16.1510066986084,0.02426048181951046,14.280834197998047
2700,16.966537475585938,0.020106954500079155,14.112981796264648
2800,13.291665077209473,0.0468633696436882,14.35610580444336
2900,16.408750534057617,0.02286256104707718,14.386857986450195
3000,16.635623931884766,0.021698901429772377,14.143518447875977
3100,15.929755210876465,0.025528455153107643,13.976393699645996
3200,13.292564392089844,0.04685366898775101,13.940896987915039
3300,17.747116088867188,0.016799194738268852,14.297000885009766
3400,17.784526824951172,0.016655106097459793,14.183497428894043
3500,15.676477432250977,0.027061523869633675,14.053203582763672
3600,17.985485076904297,0.015901993960142136,13.974119186401367
3700,17.19782257080078,0.01906416192650795,14.114448547363281
3800,18.05329704284668,0.015655623748898506,14.555364608764648
3900,17.036296844482422,0.019786566495895386,14.308174133300781
4000,16.956275939941406,0.020154515281319618,14.139084815979004
4100,17.33536148071289,0.01846987009048462,14.488391876220703
4200,13.883354187011719,0.04089447483420372,13.850923538208008
4300,17.519508361816406,0.017703097313642502,14.260634422302246
4400,18.358062744140625,0.014594651758670807,14.535873413085938
4500,16.886247634887695,0.020482134073972702,14.40458869934082
4600,17.456653594970703,0.017961174249649048,14.499255180358887
4700,14.41922664642334,0.036147430539131165,14.281242370605469
4800,14.425012588500977,0.03609929233789444,14.174818992614746
4900,18.32074546813965,0.014720603823661804,14.028111457824707
5000,18.078067779541016,0.015566583722829819,14.043180465698242
